scorer,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000
bodyparts,lefthand,lefthand,lefthand,righthand,righthand,righthand,leftfoot,leftfoot,leftfoot,rightfoot,rightfoot,rightfoot,mouth,mouth,mouth
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1541.5887451171875,280.5431823730469,0.09406423568725586,1681.71630859375,268.6019592285156,0.19163957238197327,1540.794677734375,281.2251281738281,0.6128960251808167,1541.7401123046875,282.7745361328125,0.5841575860977173,1724.429443359375,245.58106994628906,0.18393713235855103
1,1720.7086181640625,248.7059326171875,0.08057916164398193,1540.023681640625,283.3648376464844,0.12279564142227173,1540.6802978515625,281.33282470703125,0.6345935463905334,1541.8408203125,282.6519775390625,0.6422277688980103,1724.5892333984375,245.82090759277344,0.15591928362846375
2,1721.634033203125,248.7850799560547,0.11057183146476746,1721.3206787109375,249.9917755126953,0.11029309034347534,1540.731689453125,281.5590515136719,0.7291377186775208,1541.904052734375,282.7016296386719,0.6260650157928467,1724.214599609375,247.51724243164062,0.16072902083396912
3,1720.8809814453125,249.5101776123047,0.12578824162483215,1720.8250732421875,251.22166442871094,0.10533082485198975,1542.5723876953125,284.15692138671875,0.8053005933761597,1544.100341796875,284.4526062011719,0.7621511220932007,1723.9595947265625,248.8521728515625,0.14149639010429382
4,1722.3116455078125,249.88021850585938,0.09732475876808167,1720.46630859375,254.23866271972656,0.14698055386543274,1546.127685546875,286.3676452636719,0.7485361695289612,1545.69775390625,285.6008605957031,0.7063485383987427,1725.198486328125,251.0879669189453,0.13508987426757812
5,1724.309326171875,250.746826171875,0.07349580526351929,1722.0589599609375,256.18060302734375,0.3179352879524231,1549.711181640625,287.69873046875,0.8895854949951172,1724.2801513671875,255.01797485351562,0.6937016248703003,1614.4932861328125,339.783447265625,0.20926281809806824
6,1551.439208984375,291.4913024902344,0.0689757764339447,1723.9522705078125,258.5816955566406,0.24326691031455994,1552.5550537109375,291.1286926269531,0.9724462032318115,1725.4580078125,257.7015686035156,0.6369130611419678,1726.499267578125,254.36326599121094,0.18512272834777832
7,1551.8331298828125,292.216796875,0.05806508660316467,1724.2012939453125,260.3275146484375,0.1563764214515686,1552.86083984375,291.9693908691406,0.980187714099884,1725.6566162109375,258.9605712890625,0.7712914943695068,1726.8990478515625,255.9378662109375,0.2645358443260193
